year,material,region,recycling_rate,remanufacturing_rate,disposal_rate
1883,tin,RoW,0.0277692671140188,0.02,0.9522307328859811
1883,zinc,China,0.0378445245037162,0.02,0.9421554754962838
1883,zinc,EU27,0.0309359889592221,0.02,0.949064011040778
1883,zinc,RoW,0.0263724616264606,0.02,0.9536275383735392
1884,nickel,China,0.0406622859427027,0.02,0.9393377140572972
1884,nickel,EU27,0.0386178561790745,0.02,0.9413821438209254
1884,nickel,RoW,0.0310204374808123,0.02,0.9489795625191876
1884,tin,China,0.0248100659555091,0.02,0.9551899340444908
1884,tin,EU27,0.0288023520737046,0.02,0.9511976479262954
1884,tin,RoW,0.0291114119716675,0.02,0.9508885880283324
1884,zinc,China,0.0396736269335452,0.02,0.9403263730664548
1884,zinc,EU27,0.0324311878900191,0.02,0.9475688121099808
1884,zinc,RoW,0.0276470960491178,0.02,0.952352903950882
1885,nickel,China,0.042621817276973,0.02,0.937378182723027
1885,nickel,EU27,0.0404788656499113,0.02,0.9395211343500888
1885,nickel,RoW,0.0325153243972065,0.02,0.9474846756027936
1885,tin,China,0.0260056726588223,0.02,0.9539943273411776
1885,tin,EU27,0.0301903485938373,0.02,0.9498096514061628
1885,tin,RoW,0.0305143022081809,0.02,0.949485697791819
1885,zinc,China,0.0415855144066198,0.02,0.93841448559338
1885,zinc,EU27,0.0339940594159251,0.02,0.9460059405840748
1885,zinc,RoW,0.0289794203332509,0.02,0.951020579666749
1886,nickel,China,0.0446694709624556,0.02,0.9353305290375444
1886,nickel,EU27,0.0424235668317865,0.02,0.9375764331682136
1886,nickel,RoW,0.0340774380772484,0.02,0.9459225619227516
1886,tin,China,0.0272550471544533,0.02,0.9527449528455466
1886,tin,EU27,0.0316407648950112,0.02,0.9483592351049888
1886,tin,RoW,0.0319802820130887,0.02,0.9480197179869112
1886,zinc,China,0.0435833816323191,0.02,0.9364166183676808
1886,zinc,EU27,0.0356272150506367,0.02,0.9443727849493632
1886,zinc,RoW,0.030371660754698,0.02,0.949628339245302
1887,nickel,China,0.0468085922027291,0.02,0.9331914077972708
1887,nickel,EU27,0.0444551367371992,0.02,0.9355448632628008
1887,nickel,RoW,0.0357093305092499,0.02,0.94429066949075
1887,tin,China,0.0285602305160773,0.02,0.9514397694839226
1887,tin,EU27,0.0331559704881624,0.02,0.9468440295118375
1887,tin,RoW,0.0335117463230563,0.02,0.9464882536769436
1887,zinc,China,0.0456704924792552,0.02,0.9343295075207448
1887,zinc,EU27,0.0373333228420332,0.02,0.9426666771579668
1887,zinc,RoW,0.0318260917838311,0.02,0.9481739082161688
1888,nickel,China,0.0490425928248438,0.02,0.9309574071751562
1888,nickel,EU27,0.0465768156524071,0.02,0.9334231843475927
1888,nickel,RoW,0.0374136045072256,0.02,0.9425863954927745
1888,tin,China,0.0299233044676357,0.02,0.9500766955323644
1888,tin,EU27,0.0347383820756882,0.02,0.9452616179243116
1888,tin,RoW,0.0351111377725922,0.02,0.9448888622274078
1888,zinc,China,0.0478501758196353,0.02,0.9321498241803646
1888,zinc,EU27,0.0391151039751528,0.02,0.9408848960248472
1888,zinc,RoW,0.0333450331896444,0.02,0.9466549668103555
1889,nickel,China,0.05137494628428,0.02,0.92862505371572
1889,nickel,EU27,0.0487919023935262,0.02,0.9312080976064736
1889,nickel,RoW,0.0391929099002759,0.02,0.940807090099724
1889,tin,China,0.0313463883356138,0.02,0.948653611664386
1889,tin,EU27,0.0363904600133051,0.02,0.9436095399866948
1889,tin,RoW,0.0367809431179402,0.02,0.9432190568820598
1889,zinc,China,0.0501258206556691,0.02,0.9298741793443308
1889,zinc,EU27,0.0409753287882757,0.02,0.9390246712117244
1889,zinc,RoW,0.0349308466435263,0.02,0.9450691533564736
1890,nickel,China,0.0538091818809329,0.02,0.926190818119067
1890,nickel,EU27,0.0511037488133263,0.02,0.9288962511866736
1890,nickel,RoW,0.0410499391200778,0.02,0.9389500608799222
1890,tin,China,0.0328316355199287,0.02,0.9471683644800712
1890,tin,EU27,0.0381147042130516,0.02,0.9418852957869484
1890,tin,RoW,0.0385236890961204,0.02,0.9414763109038796
1890,zinc,China,0.0525008704761845,0.02,0.9274991295238154
1890,zinc,EU27,0.0429168121597434,0.02,0.9370831878402566
1890,zinc,RoW,0.0365859317865916,0.02,0.9434140682134085
1891,nickel,China,0.0563488781328669,0.02,0.923651121867133
1891,nickel,EU27,0.0535157535081416,0.02,0.9264842464918585
1891,nickel,RoW,0.042987422145857,0.02,0.9370125778541428
1891,tin,China,0.0343812294509297,0.02,0.9456187705490704
1891,tin,EU27,0.039913649449715,0.02,0.940086350550285
1891,tin,RoW,0.0403419376809917,0.02,0.9396580623190084
1891,zinc,China,0.0549788167914933,0.02,0.9250211832085068
1891,zinc,EU27,0.0449424082230367,0.02,0.9350575917769632
1891,zinc,RoW,0.0383127217243669,0.02,0.941687278275633
1892,nickel,China,0.0589976552550534,0.02,0.9210023447449466
1892,nickel,EU27,0.0560313546747646,0.02,0.9239686453252354
1892,nickel,RoW,0.0450081207665684,0.02,0.9349918792334316
1892,tin,China,0.0359973790003055,0.02,0.9440026209996945
1892,tin,EU27,0.0417898600332884,0.02,0.9382101399667117
1892,tin,RoW,0.0422382806985425,0.02,0.9377617193014576
1892,zinc,China,0.0575631917949993,0.02,0.9224368082050006
1892,zinc,EU27,0.0470550043680114,0.02,0.9329449956319884
1892,zinc,RoW,0.040113677912934,0.02,0.939886322087066
1893,nickel,China,0.0617591666914563,0.02,0.9182408333085436
1893,nickel,EU27,0.0586540220682837,0.02,0.9213459779317162
1893,nickel,RoW,0.0471148221208944,0.02,0.9328851778791056
1893,tin,China,0.0376823133143918,0.02,0.942317686685608
1893,tin,EU27,0.0437459238108861,0.02,0.9362540761891138
1893,tin,RoW,0.0442153337644443,0.02,0.9357846662355556
1893,zinc,China,0.0602575601011724,0.02,0.9197424398988276
1893,zinc,EU27,0.0492575144871084,0.02,0.9307424855128916
1893,zinc,RoW,0.0419912844014268,0.02,0.9380087155985732
1894,nickel,China,0.0646370896507724,0.02,0.9153629103492276
1894,nickel,EU27,0.0613872480136704,0.02,0.9186127519863296
1894,nickel,RoW,0.049310331477153,0.02,0.930689668522847
1894,tin,China,0.0394382760395598,0.02,0.94056172396044
1894,tin,EU27,0.0457844454629158,0.02,0.9342155545370842
1894,tin,RoW,0.0462757295082898,0.02,0.93372427049171
1894,zinc,China,0.063065509511402,0.02,0.916934490488598
1894,zinc,EU27,0.0515528714269053,0.02,0.9284471285730946
1894,zinc,RoW,0.0439480413970934,0.02,0.9360519586029066
1895,nickel,China,0.0676351145989662,0.02,0.9123648854010338
1895,nickel,EU27,0.0642345374266111,0.02,0.9157654625733888
1895,nickel,RoW,0.0515974642173635,0.02,0.9284025357826364
1895,tin,China,0.0412675189110934,0.02,0.9387324810889064
1895,tin,EU27,0.0479080390603171,0.02,0.9320919609396828
1895,tin,RoW,0.0484221100509673,0.02,0.9315778899490328
1895,zinc,China,0.0659906407620085,0.02,0.9140093592379914
1895,zinc,EU27,0.0539440186076329,0.02,0.926055981392367
1895,zinc,RoW,0.0459864581210611,0.02,0.9340135418789388
1896,nickel,China,0.070756933665559,0.02,0.909243066334441
1896,nickel,EU27,0.0671993968027084,0.02,0.9128006031972916
1896,nickel,RoW,0.05397903699264,0.02,0.92602096300736
1896,tin,China,0.0431722946792947,0.02,0.9368277053207053
1896,tin,EU27,0.0501193198523787,0.02,0.9298806801476212
1896,tin,RoW,0.050657118704358,0.02,0.929342881295642
1896,zinc,China,0.0690365562124225,0.02,0.9109634437875774
1896,zinc,EU27,0.0564339007763329,0.02,0.9235660992236672
1896,zinc,RoW,0.0481090449255432,0.02,0.9318909550744569
1897,nickel,China,0.074006227925563,0.02,0.905993772074437
1897,nickel,EU27,0.0702853221388576,0.02,0.9097146778611424
1897,nickel,RoW,0.0564578580208342,0.02,0.9235421419791656
1897,tin,China,0.0451548493495647,0.02,0.9348451506504352
1897,tin,EU27,0.0524208952581386,0.02,0.9275791047418612
1897,tin,RoW,0.0529833908660717,0.02,0.9270166091339282
1897,zinc,China,0.0722068474363433,0.02,0.9077931525636568
1897,zinc,EU27,0.0590254538632557,0.02,0.9209745461367442
1897,zinc,RoW,0.0503183046465722,0.02,0.9296816953534276
1898,nickel,China,0.07738665352507,0.02,0.90261334647493
1898,nickel,EU27,0.0734957857564164,0.02,0.9065042142435836
1898,nickel,RoW,0.0590367165020274,0.02,0.9209632834979724
1898,tin,China,0.0472174137169403,0.02,0.9327825862830595
1898,tin,EU27,0.0548153550387117,0.02,0.9251846449612884
1898,tin,RoW,0.0554035440863183,0.02,0.9245964559136816
1898,zinc,China,0.0755050816846693,0.02,0.9044949183153308
1898,zinc,EU27,0.0617215939159896,0.02,0.9182784060840103
1898,zinc,RoW,0.0526167231705125,0.02,0.9273832768294874
1899,nickel,China,0.0809018266259372,0.02,0.8990981733740627
1899,nickel,EU27,0.076834222002847,0.02,0.9031657779971528
1899,nickel,RoW,0.0617183711331355,0.02,0.9182816288668644
1899,tin,China,0.0493621941801056,0.02,0.9306378058198944
1899,tin,EU27,0.0573052606331453,0.02,0.9226947393668546
1899,tin,RoW,0.0579201672893341,0.02,0.9220798327106658
1899,zinc,China,0.0789347871962372,0.02,0.9010652128037628
1899,zinc,EU27,0.0645252050917314,0.02,0.9154747949082686
1899,zinc,RoW,0.0550067591976532,0.02,0.9249932408023468
1900,nickel,China,0.0845553071538302,0.02,0.8954446928461698
1900,nickel,EU27,0.0803040118168784,0.02,0.8996959881831216
1900,nickel,RoW,0.0645055377096177,0.02,0.9154944622903822
1900,tin,China,0.0515913628252703,0.02,0.9284086371747295
1900,tin,EU27,0.0598931336466566,0.02,0.9201068663533434
1900,tin,RoW,0.0605358091380936,0.02,0.9194641908619064
1900,zinc,China,0.0824994373410137,0.02,0.8975005626589863
1900,zinc,EU27,0.067439126695145,0.02,0.9125608733048548
1900,zinc,RoW,0.0574908331921789,0.02,0.922509166807821
1901,nickel,China,0.0883505813441714,0.02,0.8916494186558286
1901,nickel,EU27,0.0839084661520153,0.02,0.8960915338479847
1901,nickel,RoW,0.0674008758101347,0.02,0.9125991241898652
1901,tin,China,0.0539070467765929,0.02,0.926092953223407
1901,tin,EU27,0.0625814434873892,0.02,0.9174185565126108
1901,tin,RoW,0.063252965538404,0.02,0.916747034461596
1901,zinc,China,0.08620243359042,0.02,0.89379756640958
1901,zinc,EU27,0.0704661392574622,0.02,0.9095338607425376
1901,zinc,RoW,0.0600713155148147,0.02,0.9199286844851852
1902,nickel,China,0.0922910430923688,0.02,0.8877089569076312
1902,nickel,EU27,0.0876508082644448,0.02,0.8923491917355552
1902,nickel,RoW,0.0704069745690123,0.02,0.9095930254309876
1902,tin,China,0.0563113168170351,0.02,0.9236886831829648
1902,tin,EU27,0.0653725941562047,0.02,0.9146274058437952
1902,tin,RoW,0.0660740662869454,0.02,0.9139259337130544
1902,zinc,China,0.0900470873210089,0.02,0.889952912678991
1902,zinc,EU27,0.0736089496619066,0.02,0.9063910503380932
1902,zinc,RoW,0.0627505137424745,0.02,0.9172494862575254
1903,nickel,China,0.0963799741280924,0.02,0.8836200258719076
1903,nickel,EU27,0.0915341548841167,0.02,0.8884658451158832
1903,nickel,RoW,0.073526337551599,0.02,0.906473662448401
1903,tin,China,0.0588061752917107,0.02,0.9211938247082893
1903,tin,EU27,0.0682689102035111,0.02,0.9117310897964888
1903,tin,RoW,0.0690014608774124,0.02,0.9109985391225875
1903,zinc,China,0.0940366004707832,0.02,0.8859633995292168
1903,zinc,EU27,0.0768701753312097,0.02,0.9031298246687902
1903,zinc,RoW,0.0655306591883593,0.02,0.9144693408116408
1904,nickel,China,0.1006205230483625,0.02,0.8793794769516374
1904,nickel,EU27,0.0955614963020115,0.02,0.8844385036979885
1904,nickel,RoW,0.0767613667590303,0.02,0.9032386332409696
1904,tin,China,0.0613935433149378,0.02,0.918606456685062
1904,tin,EU27,0.0712726218777514,0.02,0.9087273781222486
1904,tin,RoW,0.072037403489639,0.02,0.9079625965103608
1904,zinc,China,0.0981740450820703,0.02,0.8818259549179297
1904,zinc,EU27,0.0802523275049436,0.02,0.8997476724950564
1904,zinc,RoW,0.0684138926461361,0.02,0.9115861073538638
1905,nickel,China,0.1050156832607739,0.02,0.874984316739226
1905,nickel,EU27,0.0997356754223408,0.02,0.8802643245776591
1905,nickel,RoW,0.0801143458015607,0.02,0.8998856541984392
1905,tin,China,0.0640752473123129,0.02,0.915924752687687
1905,tin,EU27,0.0743858495019087,0.02,0.9056141504980912
1905,tin,RoW,0.0751840371984591,0.02,0.9048159628015408
1905,zinc,China,0.1024623417810328,0.02,0.8775376582189671
1905,zinc,EU27,0.0837577936476071,0.02,0.8962422063523928
1905,zinc,RoW,0.0714022493930988,0.02,0.9085977506069012
1906,nickel,China,0.1095682699062754,0.02,0.8704317300937245
1906,nickel,EU27,0.1040593658456113,0.02,0.8759406341543886
1906,nickel,RoW,0.0835874222934175,0.02,0.8964125777065824
1906,tin,China,0.0668530049401605,0.02,0.9131469950598394
1906,tin,EU27,0.0776105871271999,0.02,0.9023894128728
1906,tin,RoW,0.0784433774519967,0.02,0.9015566225480032
1906,zinc,China,0.106904237261547,0.02,0.8730957627384529
1906,zinc,EU27,0.0873888190428321,0.02,0.8926111809571678
1906,zinc,RoW,0.0744976434995066,0.02,0.9055023565004934
1907,nickel,China,0.1142808958504515,0.02,0.8657191041495484
1907,nickel,EU27,0.1085350490670222,0.02,0.8714649509329777
1907,nickel,RoW,0.0871825895370339,0.02,0.892817410462966
1907,tin,China,0.0697284104366298,0.02,0.9102715895633702
1907,tin,EU27,0.0809486855269579,0.02,0.8990513144730421
1907,tin,RoW,0.0818172948830677,0.02,0.8981827051169322
1907,zinc,China,0.1115022808602283,0.02,0.8684977191397717
1907,zinc,EU27,0.0911474876446494,0.02,0.8888525123553506
1907,zinc,RoW,0.0777018515045802,0.02,0.9022981484954198
1908,nickel,China,0.1191559468530644,0.02,0.8608440531469356
1908,nickel,EU27,0.1131649908944405,0.02,0.8668350091055594
1908,nickel,RoW,0.0909016675803937,0.02,0.8890983324196062
1908,tin,China,0.0727029194714079,0.02,0.907297080528592
1908,tin,EU27,0.0844018346084527,0.02,0.8955981653915472
1908,tin,RoW,0.0853074975322728,0.02,0.8946925024677271
1908,zinc,China,0.1162588003296995,0.02,0.8637411996703005
1908,zinc,EU27,0.0950357022733584,0.02,0.8849642977266415
1908,zinc,RoW,0.0810164955337798,0.02,0.8989835044662201
1909,nickel,China,0.1241955560475385,0.02,0.8558044439524615
1909,nickel,EU27,0.1179512172110126,0.02,0.8620487827889873
1909,nickel,RoW,0.0947462837479451,0.02,0.8852537162520548
1909,tin,China,0.0757778335743946,0.02,0.9042221664256054
1909,tin,EU27,0.0879715453359227,0.02,0.8920284546640772
1909,tin,RoW,0.0889155125770558,0.02,0.8910844874229441
1909,zinc,China,0.1211758769385789,0.02,0.8588241230614211
1909,zinc,EU27,0.0990551642610234,0.02,0.8809448357389765
1909,zinc,RoW,0.0844430259468996,0.02,0.8955569740531003
1910,nickel,China,0.1294015778848339,0.02,0.8505984221151661
1910,nickel,EU27,0.1228954892290955,0.02,0.8571045107709044
1910,nickel,RoW,0.0987178527629071,0.02,0.8812821472370929
1910,tin,China,0.0789542842375746,0.02,0.9010457157624252
1910,tin,EU27,0.0916591312742162,0.02,0.8883408687257838
1910,tin,RoW,0.0926426676773018,0.02,0.8873573323226982
1910,zinc,China,0.1262553200488798,0.02,0.8537446799511201
1910,zinc,EU27,0.1032073526697807,0.02,0.8767926473302192
1910,zinc,RoW,0.0879827036219895,0.02,0.8920172963780104
1911,nickel,China,0.1347755617194738,0.02,0.8452244382805262
1911,nickel,EU27,0.1279992784043336,0.02,0.8520007215956664
1911,nickel,RoW,0.1028175565965835,0.02,0.8771824434034164
1911,tin,China,0.082233216798551,0.02,0.897766783201449
1911,tin,EU27,0.0954656898789587,0.02,0.8845343101210412
1911,tin,RoW,0.0964900720647416,0.02,0.8835099279352584
1911,zinc,China,0.1314986413442648,0.02,0.8485013586557352
1911,zinc,EU27,0.1074935032247377,0.02,0.8725064967752623
1911,zinc,RoW,0.0916365819959712,0.02,0.8883634180040287
1912,nickel,China,0.1403187252389829,0.02,0.8396812747610171
1912,nickel,EU27,0.1332637412010178,0.02,0.8467362587989822
1912,nickel,RoW,0.1070463241982169,0.02,0.8729536758017831
1912,tin,China,0.0856153742285337,0.02,0.8943846257714663
1912,tin,EU27,0.099392083675805,0.02,0.880607916324195
1912,tin,RoW,0.1004585975202492,0.02,0.8795414024797508
1912,zinc,China,0.1369070289055182,0.02,0.8430929710944818
1912,zinc,EU27,0.1119145871219789,0.02,0.8680854128780211
1912,zinc,RoW,0.0954054889987842,0.02,0.8845945110012158
1913,nickel,China,0.1460319279612328,0.02,0.8339680720387672
1913,nickel,EU27,0.1386896939219404,0.02,0.8413103060780596
1913,nickel,RoW,0.1114048112766484,0.02,0.8685951887233515
1913,tin,China,0.0891012809617643,0.02,0.8908987190382357
1913,tin,EU27,0.1034389214877903,0.02,0.8765610785122097
1913,tin,RoW,0.1045488593997566,0.02,0.8754511406002433
1913,zinc,China,0.1424813213522746,0.02,0.8375186786477253
1913,zinc,EU27,0.1164712898907347,0.02,0.8635287101092652
1913,zinc,RoW,0.0992900090337054,0.02,0.8807099909662945
1914,nickel,China,0.1519156450467021,0.02,0.8280843549532979
1914,nickel,EU27,0.1442775878373289,0.02,0.8357224121626711
1914,nickel,RoW,0.1158933803222197,0.02,0.8641066196777802
1914,tin,China,0.0926912269170836,0.02,0.8873087730829163
1914,tin,EU27,0.1076065398857463,0.02,0.8723934601142537
1914,tin,RoW,0.1087611978856251,0.02,0.8712388021143749
1914,zinc,China,0.1482219822920052,0.02,0.8317780177079948
1914,zinc,EU27,0.121163990506717,0.02,0.858836009493283
1914,zinc,RoW,0.1032904651717842,0.02,0.8767095348282158
1915,nickel,China,0.1579699416938849,0.02,0.8220300583061151
1915,nickel,EU27,0.1500274848676093,0.02,0.8299725151323907
1915,nickel,RoW,0.1205120810735466,0.02,0.8594879189264534
1915,tin,China,0.0963852518753086,0.02,0.8836147481246913
1915,tin,EU27,0.1118949850517787,0.02,0.8681050149482212
1915,tin,RoW,0.1130956596555112,0.02,0.8669043403444887
1915,zinc,China,0.1541290753379744,0.02,0.8258709246620256
1915,zinc,EU27,0.1259927409705589,0.02,0.8540072590294411
1915,zinc,RoW,0.1074069017427723,0.02,0.8725930982572276
1916,nickel,China,0.1641944484054537,0.02,0.8158055515945463
1916,nickel,EU27,0.1559390340931439,0.02,0.8240609659068561
1916,nickel,RoW,0.1252606316485731,0.02,0.8547393683514268
1916,tin,China,0.1001831303878975,0.02,0.8798168696121025
1916,tin,EU27,0.1163039952595267,0.02,0.8636960047404733
1916,tin,RoW,0.1175519801746337,0.02,0.8624480198253662
1916,zinc,China,0.1602022399767776,0.02,0.8197977600232224
1916,zinc,EU27,0.1309572465807459,0.02,0.8490427534192541
1916,zinc,RoW,0.1116390675180958,0.02,0.8683609324819042
1917,nickel,China,0.1705883374296637,0.02,0.8094116625703363
1917,nickel,EU27,0.1620114493801211,0.02,0.8179885506198789
1917,nickel,RoW,0.1301384005721955,0.02,0.8498615994278045
1917,tin,China,0.1040843574026891,0.02,0.8759156425973108
1917,tin,EU27,0.1208329841868829,0.02,0.859167015813117
1917,tin,RoW,0.1221295668294319,0.02,0.8578704331705681
1917,zinc,China,0.1664406685825487,0.02,0.8135593314174513
1917,zinc,EU27,0.1360568471438889,0.02,0.8439431528561111
1917,zinc,RoW,0.1159863996928984,0.02,0.8640136003071015
1918,nickel,China,0.1771503006952448,0.02,0.8028496993047551
1918,nickel,EU27,0.1682434884248433,0.02,0.8117565115751567
1918,nickel,RoW,0.1351443899432352,0.02,0.8448556100567648
1918,tin,China,0.108088134800893,0.02,0.8719118651991069
1918,tin,EU27,0.1254810252865964,0.02,0.8545189747134035
1918,tin,RoW,0.1268274831304598,0.02,0.8531725168695402
