year,material,region,end_use,value
1948,nickel,China,computers_and_precision_instruments,167937.0551
1949,nickel,China,computers_and_precision_instruments,174791.6288
1950,nickel,China,computers_and_precision_instruments,181925.981
1951,nickel,China,computers_and_precision_instruments,189351.5312
1952,nickel,China,computers_and_precision_instruments,197080.1651
1953,nickel,China,computers_and_precision_instruments,205124.2535
1954,nickel,China,computers_and_precision_instruments,213496.672
1955,nickel,China,computers_and_precision_instruments,222210.8219
1956,nickel,China,computers_and_precision_instruments,231280.6513
1957,nickel,China,computers_and_precision_instruments,240720.6779
1958,nickel,China,computers_and_precision_instruments,250546.0117
1959,nickel,China,computers_and_precision_instruments,260772.3795
1960,nickel,China,computers_and_precision_instruments,271416.1501
1961,nickel,China,computers_and_precision_instruments,282494.3604
1962,nickel,China,computers_and_precision_instruments,294024.7424
1963,nickel,China,computers_and_precision_instruments,306025.7523
1964,nickel,China,computers_and_precision_instruments,318516.5993
1965,nickel,China,computers_and_precision_instruments,331517.2769
1966,nickel,China,computers_and_precision_instruments,345048.5943
1967,nickel,China,computers_and_precision_instruments,359132.2104
1968,nickel,China,computers_and_precision_instruments,373790.6679
1969,nickel,China,computers_and_precision_instruments,389047.4299
1970,nickel,China,computers_and_precision_instruments,404926.9168
1971,nickel,China,computers_and_precision_instruments,421454.5461
1972,nickel,China,computers_and_precision_instruments,438656.7725
1973,nickel,China,computers_and_precision_instruments,456561.1305
1974,nickel,China,computers_and_precision_instruments,475196.2787
1975,nickel,China,computers_and_precision_instruments,494592.0452
1976,nickel,China,computers_and_precision_instruments,514779.4756
1977,nickel,China,computers_and_precision_instruments,535790.8828
1978,nickel,China,computers_and_precision_instruments,557659.8984
1979,nickel,China,computers_and_precision_instruments,580421.5269
1980,nickel,China,computers_and_precision_instruments,604112.2015
1981,nickel,China,computers_and_precision_instruments,628769.8423
1982,nickel,China,computers_and_precision_instruments,654433.9175
1983,nickel,China,computers_and_precision_instruments,681145.506
1984,nickel,China,computers_and_precision_instruments,708947.3634
1985,nickel,China,computers_and_precision_instruments,737883.9905
1986,nickel,China,computers_and_precision_instruments,768001.7044
1987,nickel,China,computers_and_precision_instruments,799348.7127
1988,nickel,China,computers_and_precision_instruments,831975.1908
1989,nickel,China,computers_and_precision_instruments,865933.3618
1990,nickel,China,computers_and_precision_instruments,901277.5807
1991,nickel,China,computers_and_precision_instruments,938064.4207
1992,nickel,China,computers_and_precision_instruments,976352.7644
1993,nickel,China,computers_and_precision_instruments,1016203.898
1994,nickel,China,computers_and_precision_instruments,1057681.608
1995,nickel,China,computers_and_precision_instruments,1100852.286
1996,nickel,China,computers_and_precision_instruments,1135060.514
1997,nickel,China,computers_and_precision_instruments,1175621.14
1998,nickel,China,computers_and_precision_instruments,1210770.173
1999,nickel,China,computers_and_precision_instruments,1250506.333
2000,nickel,China,computers_and_precision_instruments,1291830.043
2001,nickel,China,computers_and_precision_instruments,1323936.537
2002,nickel,China,computers_and_precision_instruments,1361265.444
2003,nickel,China,computers_and_precision_instruments,1398737.06
2004,nickel,China,computers_and_precision_instruments,1432738.788
2005,nickel,China,computers_and_precision_instruments,1467989.112
2006,nickel,China,computers_and_precision_instruments,1518125.939
2007,nickel,China,computers_and_precision_instruments,1558703.68
2008,nickel,China,computers_and_precision_instruments,1594131.43
2009,nickel,China,computers_and_precision_instruments,1622910.311
2010,nickel,China,computers_and_precision_instruments,1682887.848
2011,nickel,China,computers_and_precision_instruments,1775171.964
2012,nickel,China,computers_and_precision_instruments,1897555.797
2013,nickel,China,computers_and_precision_instruments,2054293.227
2014,nickel,China,computers_and_precision_instruments,2248627.154
2015,nickel,China,computers_and_precision_instruments,2456119.376
2016,nickel,China,computers_and_precision_instruments,2696177.899
2017,nickel,China,computers_and_precision_instruments,2964412.619
2018,nickel,China,computers_and_precision_instruments,3255833.088
2019,nickel,China,computers_and_precision_instruments,3553519.914
2020,nickel,China,computers_and_precision_instruments,3830625.636
2021,nickel,China,computers_and_precision_instruments,4121056.558
2022,nickel,China,computers_and_precision_instruments,4446379.15
2023,nickel,China,computers_and_precision_instruments,4858090.777
2024,nickel,China,computers_and_precision_instruments,5274054.946
2025,nickel,China,computers_and_precision_instruments,5693157.168
2026,nickel,China,computers_and_precision_instruments,6114475.816
2027,nickel,China,computers_and_precision_instruments,6537251.448
2028,nickel,China,computers_and_precision_instruments,6960825.483
2029,nickel,China,computers_and_precision_instruments,7384575.591
2030,nickel,China,computers_and_precision_instruments,7807874.401
2031,nickel,China,computers_and_precision_instruments,8230089.549
2032,nickel,China,computers_and_precision_instruments,8650628.804
2033,nickel,China,computers_and_precision_instruments,9069018.34
2034,nickel,China,computers_and_precision_instruments,9484989.905
2035,nickel,China,computers_and_precision_instruments,9898547.814
2036,nickel,China,computers_and_precision_instruments,10309991.14
2037,nickel,China,computers_and_precision_instruments,10719879.16
2038,nickel,China,computers_and_precision_instruments,11128944.75
2039,nickel,China,computers_and_precision_instruments,11537975.53
2040,nickel,China,computers_and_precision_instruments,11947690.66
2041,nickel,China,computers_and_precision_instruments,12358639.94
2042,nickel,China,computers_and_precision_instruments,12771142.35
2043,nickel,China,computers_and_precision_instruments,13185268.24
2044,nickel,China,computers_and_precision_instruments,13600857.51
2045,nickel,China,computers_and_precision_instruments,14017559.41
2046,nickel,China,computers_and_precision_instruments,14434879.49
2047,nickel,China,computers_and_precision_instruments,14852222.44
2048,nickel,China,computers_and_precision_instruments,15268925.62
2049,nickel,China,computers_and_precision_instruments,15684282.13
2050,nickel,China,computers_and_precision_instruments,16097555.39
2051,nickel,China,computers_and_precision_instruments,16507987.93
2052,nickel,China,computers_and_precision_instruments,16914806.71
2053,nickel,China,computers_and_precision_instruments,17317226.82
2054,nickel,China,computers_and_precision_instruments,17714454.35
2055,nickel,China,computers_and_precision_instruments,18105689.07
2056,nickel,China,computers_and_precision_instruments,18490127.11
2057,nickel,China,computers_and_precision_instruments,18866963.55
2058,nickel,China,computers_and_precision_instruments,19235395.2
2059,nickel,China,computers_and_precision_instruments,19594623.37
2060,nickel,China,computers_and_precision_instruments,19943856.65
2061,nickel,China,computers_and_precision_instruments,20282313.82
2062,nickel,China,computers_and_precision_instruments,20609226.63
2063,nickel,China,computers_and_precision_instruments,20923842.74
2064,nickel,China,computers_and_precision_instruments,21225428.51
2065,nickel,China,computers_and_precision_instruments,21513271.84
2066,nickel,China,computers_and_precision_instruments,21786684.92
2067,nickel,China,computers_and_precision_instruments,22045006.96
2068,nickel,China,computers_and_precision_instruments,22287606.86
2069,nickel,China,computers_and_precision_instruments,22513885.67
2070,nickel,China,computers_and_precision_instruments,22723279.13
2071,nickel,China,computers_and_precision_instruments,22915259.95
2072,nickel,China,computers_and_precision_instruments,23089340.02
2073,nickel,China,computers_and_precision_instruments,23245072.47
2074,nickel,China,computers_and_precision_instruments,23382053.57
2075,nickel,China,computers_and_precision_instruments,23499924.47
2076,nickel,China,computers_and_precision_instruments,23600177.65
2077,nickel,China,computers_and_precision_instruments,23684349.34
2078,nickel,China,computers_and_precision_instruments,23754010.19
2079,nickel,China,computers_and_precision_instruments,23810750.2
2080,nickel,China,computers_and_precision_instruments,23856158.25
2081,nickel,China,computers_and_precision_instruments,23891797.1
2082,nickel,China,computers_and_precision_instruments,23919175.34
2083,nickel,China,computers_and_precision_instruments,23939718.16
2084,nickel,China,computers_and_precision_instruments,23954739.51
2085,nickel,China,computers_and_precision_instruments,23965418.11
2086,nickel,China,computers_and_precision_instruments,23972779.9
2087,nickel,China,computers_and_precision_instruments,23977688.6
2088,nickel,China,computers_and_precision_instruments,23980845.56
2089,nickel,China,computers_and_precision_instruments,23982798.32
2090,nickel,China,computers_and_precision_instruments,23983956.62
2091,nickel,China,computers_and_precision_instruments,23984613.46
2092,nickel,China,computers_and_precision_instruments,23984968.46
2093,nickel,China,computers_and_precision_instruments,23985150.73
2094,nickel,China,computers_and_precision_instruments,23985239.36
2095,nickel,China,computers_and_precision_instruments,23985280.03
2096,nickel,China,computers_and_precision_instruments,23985297.59
2097,nickel,China,computers_and_precision_instruments,23985304.69
2098,nickel,China,computers_and_precision_instruments,23985307.38
2099,nickel,China,computers_and_precision_instruments,23985308.33
2100,nickel,China,computers_and_precision_instruments,23985308.64
1870,nickel,China,construction,19.814384
1871,nickel,China,construction,40.437477
1872,nickel,China,construction,61.902041
1873,nickel,China,construction,84.241928
1874,nickel,China,construction,107.492126
1875,nickel,China,construction,131.688802
1876,nickel,China,construction,156.869356
1877,nickel,China,construction,183.072467
1878,nickel,China,construction,210.338146
1879,nickel,China,construction,238.707796
1880,nickel,China,construction,268.224263
1881,nickel,China,construction,298.931901
1882,nickel,China,construction,330.876633
1883,nickel,China,construction,364.106018
1884,nickel,China,construction,398.669318
1885,nickel,China,construction,434.617574
1886,nickel,China,construction,472.003676
1887,nickel,China,construction,510.882448
1888,nickel,China,construction,551.310724
1889,nickel,China,construction,593.347441
1890,nickel,China,construction,637.053726
1891,nickel,China,construction,682.492991
1892,nickel,China,construction,729.731032
1893,nickel,China,construction,778.836135
1894,nickel,China,construction,829.879182
1895,nickel,China,construction,882.933764
1896,nickel,China,construction,938.076305
1897,nickel,China,construction,995.386177
1898,nickel,China,construction,1054.945841
1899,nickel,China,construction,1116.840973
1900,nickel,China,construction,1181.160613
1901,nickel,China,construction,1247.997309
1902,nickel,China,construction,1317.447273
1903,nickel,China,construction,1389.610546
1904,nickel,China,construction,1464.591162
1905,nickel,China,construction,1542.49733
1906,nickel,China,construction,1623.441612
1907,nickel,China,construction,1707.541121
1908,nickel,China,construction,1794.91772
1909,nickel,China,construction,1885.698231
1910,nickel,China,construction,1980.01465
1911,nickel,China,construction,2078.004382
1912,nickel,China,construction,2179.81047
1913,nickel,China,construction,2285.581848
1914,nickel,China,construction,2395.473596
1915,nickel,China,construction,2509.647209
1916,nickel,China,construction,2628.270873
1917,nickel,China,construction,2751.51976
1918,nickel,China,construction,2879.57633
1919,nickel,China,construction,3012.630641
1920,nickel,China,construction,3150.880683
1921,nickel,China,construction,3294.532712
1922,nickel,China,construction,3443.801611
1923,nickel,China,construction,3598.911251
1924,nickel,China,construction,3760.094882
1925,nickel,China,construction,3927.595524
1926,nickel,China,construction,4101.666384
1927,nickel,China,construction,4282.571287
1928,nickel,China,construction,4470.585118
1929,nickel,China,construction,4665.994294
1930,nickel,China,construction,4869.097239
1931,nickel,China,construction,5080.204889
1932,nickel,China,construction,5299.641212
1933,nickel,China,construction,5527.743749
1934,nickel,China,construction,5764.864177
1935,nickel,China,construction,6011.368888
1936,nickel,China,construction,6267.639601
1937,nickel,China,construction,6534.073991
1938,nickel,China,construction,6811.086338
1939,nickel,China,construction,7099.108215
1940,nickel,China,construction,7398.589188
1941,nickel,China,construction,7709.997552
1942,nickel,China,construction,8033.821095
1943,nickel,China,construction,8370.567885
1944,nickel,China,construction,8720.767102
1945,nickel,China,construction,9084.969885
1946,nickel,China,construction,9463.750227
1947,nickel,China,construction,9857.705896
1948,nickel,China,construction,10267.4594
1949,nickel,China,construction,10693.65898
1950,nickel,China,construction,11136.97965
1951,nickel,China,construction,11598.12429
1952,nickel,China,construction,12077.82475
1953,nickel,China,construction,12576.84303
1954,nickel,China,construction,13095.97248
1955,nickel,China,construction,13636.0391
1956,nickel,China,construction,14197.9028
1957,nickel,China,construction,14782.45883
1958,nickel,China,construction,15390.63914
1959,nickel,China,construction,16023.41392
1960,nickel,China,construction,16681.79309
1961,nickel,China,construction,17366.82793
1962,nickel,China,construction,18079.61278
1963,nickel,China,construction,18821.28669
1964,nickel,China,construction,19593.03532
1965,nickel,China,construction,20396.09277
1966,nickel,China,construction,21231.74354
1967,nickel,China,construction,22101.32461
1968,nickel,China,construction,23006.22751
1969,nickel,China,construction,23947.90058
1970,nickel,China,construction,24927.85121
1971,nickel,China,construction,25947.6483
1972,nickel,China,construction,27008.92472
1973,nickel,China,construction,28113.37992
1974,nickel,China,construction,29262.78261
1975,nickel,China,construction,30458.97359
1976,nickel,China,construction,31703.8687
1977,nickel,China,construction,32999.46185
1978,nickel,China,construction,34347.82817
1979,nickel,China,construction,35751.12738
1980,nickel,China,construction,37211.60718
1981,nickel,China,construction,38731.60686
1982,nickel,China,construction,40313.56102
1983,nickel,China,construction,41960.00346
1984,nickel,China,construction,43673.57124
1985,nickel,China,construction,45457.00885
1986,nickel,China,construction,47313.17263
1987,nickel,China,construction,49245.03532
1988,nickel,China,construction,51255.69083
1989,nickel,China,construction,53348.35914
1990,nickel,China,construction,55526.39148
1991,nickel,China,construction,57793.27569
1992,nickel,China,construction,60152.64179
1993,nickel,China,construction,62608.26778
1994,nickel,China,construction,65164.08569
1995,nickel,China,construction,67824.18788
1996,nickel,China,construction,70329.17909
1997,nickel,China,construction,73058.08801
1998,nickel,China,construction,75723.69729
1999,nickel,China,construction,78573.29849
2000,nickel,China,construction,81533.88062
2001,nickel,China,construction,84772.05926
2002,nickel,China,construction,88914.48929
2003,nickel,China,construction,94104.50486
2004,nickel,China,construction,100394.7814
2005,nickel,China,construction,108032.3921
2006,nickel,China,construction,117757.0865
2007,nickel,China,construction,127974.9564
2008,nickel,China,construction,138918.5158
2009,nickel,China,construction,150375.3489
2010,nickel,China,construction,164942.6415
2011,nickel,China,construction,181773.9681
2012,nickel,China,construction,199659.7384
2013,nickel,China,construction,218420.3857
2014,nickel,China,construction,238302.9441
2015,nickel,China,construction,258307.1414
2016,nickel,China,construction,280276.873
2017,nickel,China,construction,304594.6051
2018,nickel,China,construction,331312.9112
2019,nickel,China,construction,359429.4906
2020,nickel,China,construction,387176.0015
2021,nickel,China,construction,416465.7392
2022,nickel,China,construction,448568.1504
2023,nickel,China,construction,487052.4993
2024,nickel,China,construction,527220.3948
2025,nickel,China,construction,569108.1785
2026,nickel,China,construction,612750.4876
2027,nickel,China,construction,658180.0785
2028,nickel,China,construction,705427.6491
2029,nickel,China,construction,754521.6591
2030,nickel,China,construction,805488.15
2031,nickel,China,construction,858350.5652
2032,nickel,China,construction,913129.5711
2033,nickel,China,construction,969842.8792
2034,nickel,China,construction,1028505.072
2035,nickel,China,construction,1089127.43
2036,nickel,China,construction,1151717.766
2037,nickel,China,construction,1216280.263
2038,nickel,China,construction,1282815.318
2039,nickel,China,construction,1351319.389
2040,nickel,China,construction,1421784.862
2041,nickel,China,construction,1494199.908
2042,nickel,China,construction,1568548.369
2043,nickel,China,construction,1644809.641
2044,nickel,China,construction,1722958.571
2045,nickel,China,construction,1802965.374
2046,nickel,China,construction,1884795.547
2047,nickel,China,construction,1968409.817
2048,nickel,China,construction,2053764.084
2049,nickel,China,construction,2140809.392
2050,nickel,China,construction,2229491.907
2051,nickel,China,construction,2319752.921
2052,nickel,China,construction,2411528.857
2053,nickel,China,construction,2504751.31
2054,nickel,China,construction,2599347.089
2055,nickel,China,construction,2695238.282
2056,nickel,China,construction,2792342.343
2057,nickel,China,construction,2890572.191
2058,nickel,China,construction,2989836.325
2059,nickel,China,construction,3090038.965
2060,nickel,China,construction,3191080.198
2061,nickel,China,construction,3292856.155
2062,nickel,China,construction,3395259.19
2063,nickel,China,construction,3498178.086
2064,nickel,China,construction,3601498.273
2065,nickel,China,construction,3705102.059
2066,nickel,China,construction,3808868.875
2067,nickel,China,construction,3912675.539
2068,nickel,China,construction,4016396.524
2069,nickel,China,construction,4119904.246
2070,nickel,China,construction,4223069.353
2071,nickel,China,construction,4325761.035
2072,nickel,China,construction,4427847.329
2073,nickel,China,construction,4529195.444
2074,nickel,China,construction,4629672.082
2075,nickel,China,construction,4729143.768
2076,nickel,China,construction,4827582.974
2077,nickel,China,construction,4924962.478
2078,nickel,China,construction,5021255.426
2079,nickel,China,construction,5116435.388
2080,nickel,China,construction,5210476.419
2081,nickel,China,construction,5303353.115
2082,nickel,China,construction,5395040.673
2083,nickel,China,construction,5485514.942
2084,nickel,China,construction,5574752.48
2085,nickel,China,construction,5662730.607
2086,nickel,China,construction,5749427.457
2087,nickel,China,construction,5834822.026
2088,nickel,China,construction,5918894.222
2089,nickel,China,construction,6001624.907
2090,nickel,China,construction,6082995.948
2091,nickel,China,construction,6162990.252
2092,nickel,China,construction,6241591.806
2093,nickel,China,construction,6318785.717
2094,nickel,China,construction,6394558.244
2095,nickel,China,construction,6468896.827
2096,nickel,China,construction,6541790.121
2097,nickel,China,construction,6613228.015
2098,nickel,China,construction,6683201.661
2099,nickel,China,construction,6751703.488
2100,nickel,China,construction,6818727.221
1870,nickel,China,electrical_equipment,174.647687
1871,nickel,China,electrical_equipment,356.415892
1872,nickel,China,electrical_equipment,545.547505
1873,nickel,China,electrical_equipment,742.247673
1874,nickel,China,electrical_equipment,946.682539
1875,nickel,China,electrical_equipment,1158.978263
1876,nickel,China,electrical_equipment,1379.220441
1877,nickel,China,electrical_equipment,1607.454074
1878,nickel,China,electrical_equipment,1843.684215
1879,nickel,China,electrical_equipment,2087.877415
1880,nickel,China,electrical_equipment,2339.964063
1881,nickel,China,electrical_equipment,2599.841736
1882,nickel,China,electrical_equipment,2867.379581
1883,nickel,China,electrical_equipment,3142.423784
1884,nickel,China,electrical_equipment,3424.8041
1885,nickel,China,electrical_equipment,3714.341384
1886,nickel,China,electrical_equipment,4010.856027
1887,nickel,China,electrical_equipment,4314.177144
1888,nickel,China,electrical_equipment,4624.152306
1889,nickel,China,electrical_equipment,4940.657598
1890,nickel,China,electrical_equipment,5263.607699
1891,nickel,China,electrical_equipment,5592.965711
1892,nickel,China,electrical_equipment,5928.752402
1893,nickel,China,electrical_equipment,6271.054572
1894,nickel,China,electrical_equipment,6620.032228
1895,nickel,China,electrical_equipment,6975.92434
1896,nickel,China,electrical_equipment,7339.052933
1897,nickel,China,electrical_equipment,7709.825418
1898,nickel,China,electrical_equipment,8088.735048
1899,nickel,China,electrical_equipment,8476.35956
1900,nickel,China,electrical_equipment,8873.358061
1901,nickel,China,electrical_equipment,9280.466374
1902,nickel,China,electrical_equipment,9698.491068
1903,nickel,China,electrical_equipment,10128.30249
1904,nickel,China,electrical_equipment,10570.82718
1905,nickel,China,electrical_equipment,11027.03993
1906,nickel,China,electrical_equipment,11497.95607
1907,nickel,China,electrical_equipment,11984.62404
1908,nickel,China,electrical_equipment,12488.11882
1909,nickel,China,electrical_equipment,13009.53628
1910,nickel,China,electrical_equipment,13549.98875
1911,nickel,China,electrical_equipment,14110.60185
1912,nickel,China,electrical_equipment,14692.51261
1913,nickel,China,electrical_equipment,15296.86891
1914,nickel,China,electrical_equipment,15924.8301
1915,nickel,China,electrical_equipment,16577.56866
1916,nickel,China,electrical_equipment,17256.27279
1917,nickel,China,electrical_equipment,17962.14968
1918,nickel,China,electrical_equipment,18696.42931
1919,nickel,China,electrical_equipment,19460.36858
1920,nickel,China,electrical_equipment,20255.2557
1921,nickel,China,electrical_equipment,21082.41458
1922,nickel,China,electrical_equipment,21943.20921
1923,nickel,China,electrical_equipment,22839.04791
1924,nickel,China,electrical_equipment,23771.3875
1925,nickel,China,electrical_equipment,24741.73719
1926,nickel,China,electrical_equipment,25751.66241
1927,nickel,China,electrical_equipment,26802.78841
1928,nickel,China,electrical_equipment,27896.80379
1929,nickel,China,electrical_equipment,29035.46389
1930,nickel,China,electrical_equipment,30220.59414
1931,nickel,China,electrical_equipment,31454.09339
1932,nickel,China,electrical_equipment,32737.93729
1933,nickel,China,electrical_equipment,34074.18159
1934,nickel,China,electrical_equipment,35464.96565
1935,nickel,China,electrical_equipment,36912.51591
1936,nickel,China,electrical_equipment,38419.14957
1937,nickel,China,electrical_equipment,39987.27832
1938,nickel,China,electrical_equipment,41619.41223
1939,nickel,China,electrical_equipment,43318.1638
1940,nickel,China,electrical_equipment,45086.25215
1941,nickel,China,electrical_equipment,46926.50735
1942,nickel,China,electrical_equipment,48841.87501
1943,nickel,China,electrical_equipment,50835.42093
1944,nickel,China,electrical_equipment,52910.33607
1945,nickel,China,electrical_equipment,55069.94163
1946,nickel,China,electrical_equipment,57317.69435
1947,nickel,China,electrical_equipment,59657.19208
1948,nickel,China,electrical_equipment,62092.17951
1949,nickel,China,electrical_equipment,64626.55418
1950,nickel,China,electrical_equipment,67264.37272
1951,nickel,China,electrical_equipment,70009.85732
1952,nickel,China,electrical_equipment,72867.40252
1953,nickel,China,electrical_equipment,75841.58221
1954,nickel,China,electrical_equipment,78937.157
1955,nickel,China,electrical_equipment,82159.08177
1956,nickel,China,electrical_equipment,85512.51368
1957,nickel,China,electrical_equipment,89002.82036
1958,nickel,China,electrical_equipment,92635.58854
1959,nickel,China,electrical_equipment,96416.63297
1960,nickel,China,electrical_equipment,100352.0057
1961,nickel,China,electrical_equipment,104448.006
1962,nickel,China,electrical_equipment,108711.1899
1963,nickel,China,electrical_equipment,113148.3813
1964,nickel,China,electrical_equipment,117766.6826
1965,nickel,China,electrical_equipment,122573.486
1966,nickel,China,electrical_equipment,127576.4854
1967,nickel,China,electrical_equipment,132783.6889
1968,nickel,China,electrical_equipment,138203.4313
1969,nickel,China,electrical_equipment,143844.3877
1970,nickel,China,electrical_equipment,149715.5872
1971,nickel,China,electrical_equipment,155826.4275
1972,nickel,China,electrical_equipment,162186.6898
1973,nickel,China,electrical_equipment,168806.5547
1974,nickel,China,electrical_equipment,175696.6181
1975,nickel,China,electrical_equipment,182867.9087
1976,nickel,China,electrical_equipment,190331.905
1977,nickel,China,electrical_equipment,198100.5541
1978,nickel,China,electrical_equipment,206186.291
1979,nickel,China,electrical_equipment,214602.058
1980,nickel,China,electrical_equipment,223361.3257
1981,nickel,China,electrical_equipment,232478.1145
1982,nickel,China,electrical_equipment,241967.0171
1983,nickel,China,electrical_equipment,251843.2219
1984,nickel,China,electrical_equipment,262122.5371
1985,nickel,China,electrical_equipment,272821.4162
1986,nickel,China,electrical_equipment,283956.9842
1987,nickel,China,electrical_equipment,295547.0651
1988,nickel,China,electrical_equipment,307610.2107
1989,nickel,China,electrical_equipment,320165.7295
1990,nickel,China,electrical_equipment,333233.7184
1991,nickel,China,electrical_equipment,346835.0947
1992,nickel,China,electrical_equipment,360991.6292
1993,nickel,China,electrical_equipment,375725.9814
1994,nickel,China,electrical_equipment,391061.7357
1995,nickel,China,electrical_equipment,407023.4392
1996,nickel,China,electrical_equipment,421312.7409
1997,nickel,China,electrical_equipment,437258.0911
1998,nickel,China,electrical_equipment,452315.4773
1999,nickel,China,electrical_equipment,468652.0818
2000,nickel,China,electrical_equipment,485611.9998
2001,nickel,China,electrical_equipment,504183.3944
2002,nickel,China,electrical_equipment,529561.1694
2003,nickel,China,electrical_equipment,562677.5156
2004,nickel,China,electrical_equipment,603718.7327
2005,nickel,China,electrical_equipment,654461.6934
2006,nickel,China,electrical_equipment,720526.0387
2007,nickel,China,electrical_equipment,788791.7826
2008,nickel,China,electrical_equipment,860909.4073
2009,nickel,China,electrical_equipment,935124.8695
2010,nickel,China,electrical_equipment,1031252.899
2011,nickel,China,electrical_equipment,1143009.403
2012,nickel,China,electrical_equipment,1261982.63
2013,nickel,China,electrical_equipment,1387869.58
2014,nickel,China,electrical_equipment,1523838.514
2015,nickel,China,electrical_equipment,1663485.555
2016,nickel,China,electrical_equipment,1823230.017
2017,nickel,China,electrical_equipment,2009045.703
2018,nickel,China,electrical_equipment,2225151.832
2019,nickel,China,electrical_equipment,2466795.527
2020,nickel,China,electrical_equipment,2720609.888
2021,nickel,China,electrical_equipment,3009901.317
2022,nickel,China,electrical_equipment,3355123.374
2023,nickel,China,electrical_equipment,3771816.463
2024,nickel,China,electrical_equipment,4204430.641
2025,nickel,China,electrical_equipment,4652882.605
2026,nickel,China,electrical_equipment,5117008.1
