year,origin_region,value
1921,RoW,0.57
1922,EU27,0.28
1922,China,0.5
1922,RoW,0.57
1923,EU27,0.28
1923,China,0.5
1923,RoW,0.57
1924,EU27,0.28
1924,China,0.5
1924,RoW,0.57
1925,EU27,0.28
1925,China,0.5
1925,RoW,0.57
1926,EU27,0.28
1926,China,0.5
1926,RoW,0.57
1927,EU27,0.28
1927,China,0.5
1927,RoW,0.57
1928,EU27,0.28
1928,China,0.5
1928,RoW,0.57
1929,EU27,0.28
1929,China,0.5
1929,RoW,0.57
1930,EU27,0.28
1930,China,0.5
1930,RoW,0.57
1931,EU27,0.28
1931,China,0.5
1931,RoW,0.57
1932,EU27,0.28
1932,China,0.5
1932,RoW,0.57
1933,EU27,0.28
1933,China,0.5
1933,RoW,0.57
1934,EU27,0.28
1934,China,0.5
1934,RoW,0.57
1935,EU27,0.28
1935,China,0.5
1935,RoW,0.57
1936,EU27,0.28
1936,China,0.5
1936,RoW,0.57
1937,EU27,0.28
1937,China,0.5
1937,RoW,0.57
1938,EU27,0.28
1938,China,0.5
1938,RoW,0.57
1939,EU27,0.28
1939,China,0.5
1939,RoW,0.57
1940,EU27,0.28
1940,China,0.5
1940,RoW,0.57
1941,EU27,0.28
1941,China,0.5
1941,RoW,0.57
1942,EU27,0.28
1942,China,0.5
1942,RoW,0.57
1943,EU27,0.28
1943,China,0.5
1943,RoW,0.57
1944,EU27,0.28
1944,China,0.5
1944,RoW,0.57
1945,EU27,0.28
1945,China,0.5
1945,RoW,0.57
1946,EU27,0.28
1946,China,0.5
1946,RoW,0.57
1947,EU27,0.28
1947,China,0.5
1947,RoW,0.57
1948,EU27,0.28
1948,China,0.5
1948,RoW,0.57
1949,EU27,0.28
1949,China,0.5
1949,RoW,0.57
1950,EU27,0.22
1950,China,0.5
1950,RoW,0.62
1951,EU27,0.22
1951,China,0.5
1951,RoW,0.62
1952,EU27,0.22
1952,China,0.5
1952,RoW,0.62
1953,EU27,0.22
1953,China,0.5
1953,RoW,0.62
1954,EU27,0.22
1954,China,0.5
1954,RoW,0.62
1955,EU27,0.22
1955,China,0.5
1955,RoW,0.62
1956,EU27,0.22
1956,China,0.5
1956,RoW,0.62
1957,EU27,0.22
1957,China,0.5
1957,RoW,0.62
1958,EU27,0.22
1958,China,0.5
1958,RoW,0.62
1959,EU27,0.22
1959,China,0.5
1959,RoW,0.62
1960,EU27,0.22
1960,China,0.5
1960,RoW,0.62
1961,EU27,0.22
1961,China,0.5
1961,RoW,0.62
1962,EU27,0.22
1962,China,0.5
1962,RoW,0.62
1963,EU27,0.22
1963,China,0.5
1963,RoW,0.62
1964,EU27,0.22
1964,China,0.5
1964,RoW,0.62
1965,EU27,0.22
1965,China,0.5
1965,RoW,0.62
1966,EU27,0.22
1966,China,0.5
1966,RoW,0.62
1967,EU27,0.22
1967,China,0.5
1967,RoW,0.62
1968,EU27,0.22
1968,China,0.5
1968,RoW,0.62
1969,EU27,0.22
1969,China,0.5
1969,RoW,0.62
1970,EU27,0.22
1970,China,0.5
1970,RoW,0.62
1971,EU27,0.22
1971,China,0.5
1971,RoW,0.62
1972,EU27,0.22
1972,China,0.5
1972,RoW,0.62
1973,EU27,0.22
1973,China,0.5
1973,RoW,0.62
1974,EU27,0.22
1974,China,0.5
1974,RoW,0.62
1975,EU27,0.22
1975,China,0.5
1975,RoW,0.62
1976,EU27,0.22
1976,China,0.5
1976,RoW,0.62
1977,EU27,0.22
1977,China,0.5
1977,RoW,0.62
1978,EU27,0.22
1978,China,0.5
1978,RoW,0.62
1979,EU27,0.22
1979,China,0.5
1979,RoW,0.62
1980,EU27,0.22
1980,China,0.5
1980,RoW,0.62
1981,EU27,0.22
1981,China,0.5
1981,RoW,0.62
1982,EU27,0.22
1982,China,0.5
1982,RoW,0.62
1983,EU27,0.22
1983,China,0.5
1983,RoW,0.62
1984,EU27,0.22
1984,China,0.5
1984,RoW,0.62
1985,EU27,0.22
1985,China,0.5
1985,RoW,0.62
1986,EU27,0.22
1986,China,0.5
1986,RoW,0.62
1987,EU27,0.22
1987,China,0.5
1987,RoW,0.62
1988,EU27,0.22
1988,China,0.5
1988,RoW,0.62
1989,EU27,0.22
1989,China,0.5
1989,RoW,0.62
1990,EU27,0.17
1990,China,0.47
1990,RoW,0.65
1991,EU27,0.17
1991,China,0.47
1991,RoW,0.65
1992,EU27,0.17
1992,China,0.47
1992,RoW,0.65
1993,EU27,0.17
1993,China,0.47
1993,RoW,0.65
1994,EU27,0.17
1994,China,0.47
1994,RoW,0.65
1995,EU27,0.17
1995,China,0.47
1995,RoW,0.65
1996,EU27,0.17
1996,China,0.47
1996,RoW,0.65
1997,EU27,0.17
1997,China,0.47
1997,RoW,0.65
1998,EU27,0.17
1998,China,0.47
1998,RoW,0.65
1999,EU27,0.17
1999,China,0.47
1999,RoW,0.65
2000,EU27,0.17
2000,China,0.47
2000,RoW,0.65
2001,EU27,0.17
2001,China,0.47
2001,RoW,0.65
2002,EU27,0.17
2002,China,0.47
2002,RoW,0.65
2003,EU27,0.17
2003,China,0.47
2003,RoW,0.65
2004,EU27,0.17
2004,China,0.47
2004,RoW,0.65
2005,EU27,0.17
2005,China,0.47
2005,RoW,0.65
2006,EU27,0.17
2006,China,0.47
2006,RoW,0.65
2007,EU27,0.17
2007,China,0.47
2007,RoW,0.65
2008,EU27,0.17
2008,China,0.47
2008,RoW,0.65
2009,EU27,0.17
2009,China,0.47
2009,RoW,0.65
2010,EU27,0.17
2010,China,0.47
2010,RoW,0.65
2011,EU27,0.17
2011,China,0.47
2011,RoW,0.65
2012,EU27,0.17
2012,China,0.47
2012,RoW,0.65
2013,EU27,0.17
2013,China,0.47
2013,RoW,0.65
2014,EU27,0.17
2014,China,0.47
2014,RoW,0.65
2015,EU27,0.17
2015,China,0.47
2015,RoW,0.65
2016,EU27,0.17
2016,China,0.47
2016,RoW,0.65
2017,EU27,0.17
2017,China,0.47
2017,RoW,0.65
2018,EU27,0.17
2018,China,0.47
2018,RoW,0.65
2019,EU27,0.17
2019,China,0.47
2019,RoW,0.65
2020,EU27,0.17
2020,China,0.47
2020,RoW,0.65
2021,EU27,0.17
2021,China,0.47
2021,RoW,0.65
2022,EU27,0.17
2022,China,0.47
2022,RoW,0.65
2023,EU27,0.17
2023,China,0.47
2023,RoW,0.65
2024,EU27,0.17
2024,China,0.47
2024,RoW,0.65
2025,EU27,0.17
2025,China,0.47
2025,RoW,0.65
2026,EU27,0.17
2026,China,0.47
2026,RoW,0.65
2027,EU27,0.17
2027,China,0.47
2027,RoW,0.65
2028,EU27,0.17
2028,China,0.47
2028,RoW,0.65
2029,EU27,0.17
2029,China,0.47
2029,RoW,0.65
2030,EU27,0.17
2030,China,0.47
2030,RoW,0.65
2031,EU27,0.17
2031,China,0.47
2031,RoW,0.65
2032,EU27,0.17
2032,China,0.47
2032,RoW,0.65
2033,EU27,0.17
2033,China,0.47
2033,RoW,0.65
2034,EU27,0.17
2034,China,0.47
2034,RoW,0.65
2035,EU27,0.17
2035,China,0.47
2035,RoW,0.65
2036,EU27,0.17
2036,China,0.47
2036,RoW,0.65
2037,EU27,0.17
2037,China,0.47
2037,RoW,0.65
2038,EU27,0.17
2038,China,0.47
2038,RoW,0.65
2039,EU27,0.17
2039,China,0.47
2039,RoW,0.65
2040,EU27,0.17
2040,China,0.47
2040,RoW,0.65
2041,EU27,0.17
2041,China,0.47
2041,RoW,0.65
2042,EU27,0.17
2042,China,0.47
2042,RoW,0.65
2043,EU27,0.17
2043,China,0.47
2043,RoW,0.65
2044,EU27,0.17
2044,China,0.47
2044,RoW,0.65
2045,EU27,0.17
2045,China,0.47
2045,RoW,0.65
2046,EU27,0.17
2046,China,0.47
2046,RoW,0.65
2047,EU27,0.17
2047,China,0.47
2047,RoW,0.65
2048,EU27,0.17
2048,China,0.47
2048,RoW,0.65
2049,EU27,0.17
2049,China,0.47
2049,RoW,0.65
2050,EU27,0.17
2050,China,0.47
2050,RoW,0.65
2051,EU27,0.17
2051,China,0.47
2051,RoW,0.65
2052,EU27,0.17
2052,China,0.47
2052,RoW,0.65
2053,EU27,0.17
2053,China,0.47
2053,RoW,0.65
2054,EU27,0.17
2054,China,0.47
2054,RoW,0.65
2055,EU27,0.17
2055,China,0.47
2055,RoW,0.65
2056,EU27,0.17
2056,China,0.47
2056,RoW,0.65
2057,EU27,0.17
2057,China,0.47
2057,RoW,0.65
2058,EU27,0.17
2058,China,0.47
2058,RoW,0.65
2059,EU27,0.17
2059,China,0.47
2059,RoW,0.65
2060,EU27,0.17
2060,China,0.47
2060,RoW,0.65
2061,EU27,0.17
2061,China,0.47
2061,RoW,0.65
2062,EU27,0.17
2062,China,0.47
2062,RoW,0.65
2063,EU27,0.17
2063,China,0.47
2063,RoW,0.65
2064,EU27,0.17
2064,China,0.47
2064,RoW,0.65
2065,EU27,0.17
2065,China,0.47
2065,RoW,0.65
2066,EU27,0.17
2066,China,0.47
2066,RoW,0.65
2067,EU27,0.17
2067,China,0.47
2067,RoW,0.65
2068,EU27,0.17
2068,China,0.47
2068,RoW,0.65
2069,EU27,0.17
2069,China,0.47
2069,RoW,0.65
2070,EU27,0.17
2070,China,0.47
2070,RoW,0.65
2071,EU27,0.17
2071,China,0.47
2071,RoW,0.65
2072,EU27,0.17
2072,China,0.47
2072,RoW,0.65
2073,EU27,0.17
2073,China,0.47
2073,RoW,0.65
2074,EU27,0.17
2074,China,0.47
2074,RoW,0.65
2075,EU27,0.17
2075,China,0.47
2075,RoW,0.65
2076,EU27,0.17
2076,China,0.47
2076,RoW,0.65
2077,EU27,0.17
2077,China,0.47
2077,RoW,0.65
2078,EU27,0.17
2078,China,0.47
2078,RoW,0.65
2079,EU27,0.17
2079,China,0.47
2079,RoW,0.65
2080,EU27,0.17
2080,China,0.47
2080,RoW,0.65
2081,EU27,0.17
2081,China,0.47
2081,RoW,0.65
2082,EU27,0.17
2082,China,0.47
2082,RoW,0.65
2083,EU27,0.17
2083,China,0.47
2083,RoW,0.65
2084,EU27,0.17
2084,China,0.47
2084,RoW,0.65
2085,EU27,0.17
2085,China,0.47
2085,RoW,0.65
2086,EU27,0.17
2086,China,0.47
2086,RoW,0.65
2087,EU27,0.17
2087,China,0.47
2087,RoW,0.65
2088,EU27,0.17
2088,China,0.47
2088,RoW,0.65
2089,EU27,0.17
2089,China,0.47
2089,RoW,0.65
2090,EU27,0.17
2090,China,0.47
2090,RoW,0.65
2091,EU27,0.17
2091,China,0.47
2091,RoW,0.65
2092,EU27,0.17
2092,China,0.47
2092,RoW,0.65
2093,EU27,0.17
2093,China,0.47
2093,RoW,0.65
2094,EU27,0.17
2094,China,0.47
2094,RoW,0.65
2095,EU27,0.17
2095,China,0.47
2095,RoW,0.65
2096,EU27,0.17
2096,China,0.47
2096,RoW,0.65
2097,EU27,0.17
2097,China,0.47
2097,RoW,0.65
2098,EU27,0.17
2098,China,0.47
2098,RoW,0.65
2099,EU27,0.17
2099,China,0.47
2099,RoW,0.65
2100,EU27,0.17
2100,China,0.47
2100,RoW,0.65
